1656 3550
0 1027 12
1 546 27
1 1028 28
2 733 55
2 592 51
2 495 43
3 348 26
3 564 104
3 1636 58
4 1443 132
4 432 77
4 18 172
5 188 67
5 1440 54
5 166 59
5 687 107
6 1053 49
6 1155 33
6 197 118
6 1054 35
7 365 186
7 1507 33
7 16 136
8 1014 70
8 1438 73
9 1617 17
9 782 145
9 204 131
9 954 102
10 1192 104
10 1181 126
10 1445 123
11 645 53
11 555 106
11 1566 60
12 681 69
12 1530 44
12 530 566
13 1598 60
13 653 27
14 682 342
14 0 74
14 444 70
15 821 33
15 16 40
15 1194 27
16 15 40
16 441 144
16 7 136
17 779 149
17 459 148
17 203 109
18 161 37
18 4 172
18 776 43
19 25 96
19 20 72
19 186 94
20 185 94
20 187 68
20 19 72
21 1418 124
21 194 67
21 187 71
22 194 37
22 1072 47
22 961 67
23 963 31
23 1408 99
24 1408 6
24 1285 15
24 739 215
25 185 70
25 19 96
25 26 62
26 168 61
26 184 43
26 155 99
26 25 62
27 947 10
27 160 39
27 168 79
28 184 25
28 29 76
29 28 76
29 195 46
29 187 142
30 1418 7
30 196 148
30 962 59
31 962 4
31 1073 57
31 32 54
32 1076 56
32 33 56
32 31 54
33 192 71
33 32 56
33 963 131
34 421 20
34 657 162
35 1114 177
35 897 104
36 37 87
36 38 87
37 36 87
37 1351 192
38 126 96
39 758 143
39 1175 128
40 1215 96
40 1200 86
41 1519 274
41 634 96
41 778 194
42 631 51
42 633 55
42 634 88
43 1301 100
44 1575 9
44 816 32
45 47 80
45 46 86
46 631 19
46 1354 55
46 45 86
47 45 80
47 635 44
47 64 53
48 49 91
48 636 46
48 47 72
49 48 91
49 50 92
49 52 335
50 49 92
50 41 171
50 51 342
51 52 91
51 50 342
51 1304 211
52 49 335
52 53 90
52 51 91
53 1253 42
53 52 90
53 57 63
54 53 135
54 55 70
55 635 144
55 56 128
55 54 70
56 1253 29
56 55 128
56 58 42
57 1383 27
57 53 63
57 1382 19
58 66 80
58 56 42
59 107 40
59 1248 121
60 107 62
60 61 57
61 60 57
61 62 94
62 63 61
62 44 28
63 60 96
63 64 103
63 62 61
64 63 103
64 59 100
65 45 48
65 63 61
66 1441 46
66 58 80
66 1400 27
67 815 95
67 58 238
67 1264 31
68 1262 24
69 328 30
69 1303 25
69 1487 113
70 1484 165
70 638 54
70 71 99
71 77 89
71 72 60
71 1486 93
71 70 99
