21876 60076
0 2456 12
1 814 27
1 2465 28
2 21646 11
2 3650 37
2 10481 39
2 692 43
3 4441 16
3 430 26
3 21404 11
3 10426 23
4 2789 28
4 10707 132
4 2248 29
5 9833 12
5 10578 17
5 9831 12
5 9832 9
6 3715 10
6 3731 11
6 10724 11
6 2757 35
7 12279 14
7 4190 23
7 15347 33
8 3643 15
8 13116 6
9 2192 20
9 2201 19
9 21366 17
9 1248 22
10 4192 11
10 4189 9
10 3511 71
11 960 53
11 17460 8
11 5797 12
11 17457 7
12 1039 43
12 2508 36
12 17425 228
13 4050 13
13 2507 43
14 10691 14
14 15 16
14 8668 27
15 14 16
15 8673 45
15 10690 12
16 3978 81
16 1618 59
16 594 70
17 5782 9
17 4270 15
17 18 40
18 12700 12
18 4269 9
18 17 40
19 18954 11
19 1396 9
19 2183 11
20 15733 9
20 6583 14
20 2184 66
21 2788 12
21 2785 16
21 15348 7
21 1221 43
22 3615 13
22 3609 10
22 15355 8
22 16593 8
22 227 94
23 14338 9
23 10320 33
23 229 68
24 14650 11
24 5497 7
24 229 71
25 14646 11
25 237 37
25 2249 39
26 11053 7
26 10151 11
26 27 65
27 2246 31
27 5317 74
28 10156 6
28 5321 15
28 1142 215
29 14311 9
29 14312 12
29 5318 422
30 14344 7
30 14694 4
30 14693 5
31 3595 10
31 3581 9
31 3618 9
31 3579 10
32 12281 8
32 2171 10
32 228 41
33 224 25
33 21634 30
34 14305 10
34 10579 40
34 238 46
35 14699 6
35 10321 7
35 10580 7
36 14653 9
36 2245 4
36 6359 47
37 6358 9
37 6359 7
37 6360 49
38 1318 11
38 6360 7
38 11054 9
39 11188 6
39 12318 7
39 5427 113
40 564 20
40 1216 11
41 15529 4
41 15547 9
41 975 19
42 4356 8
42 4365 9
42 15760 8
43 14832 3
43 4379 92
44 21073 5
44 4378 5
45 12921 3
45 4382 44
46 12918 9
46 4522 86
47 12910 5
47 4599 7
48 10710 11
48 5392 8
49 15515 5
49 4597 4
49 15516 84
49 5579 59
50 5776 4
50 4425 10
50 15261 11
51 4427 10
51 4424 13
51 4419 11
52 15764 6
52 5428 4
53 11186 9
53 4355 128
53 7037 19
54 21045 9
54 3178 21
55 7114 70
55 7038 78
56 7038 9
56 944 19
56 7039 55
57 7117 10
57 7114 10
57 10600 11
58 10596 11
58 10597 10
58 14181 11
59 7178 50
59 7069 55
59 18690 6
60 4421 11
60 12235 10
60 10258 6
60 7068 39
61 4426 14
61 7085 7
61 4429 13
61 10243 8
62 18687 7
62 3093 8
62 4426 77
63 3160 12
63 15265 5
63 7107 36
64 5461 9
64 5459 11
64 5462 12
65 7127 8
65 10602 9
66 7135 7
66 7137 7
66 7136 7
66 7134 6
67 7143 9
